date,league_code,league,HomeTeam,AwayTeam,B365H,B365D,B365A,p_home_novig,FTHG,FTAG,settlement_available,pass_plus1_5,loss_margin
2009-04-08,SC0,Scotland Premiership,Celtic,Falkirk,1.16,6.5,17.0,0.8021196283391405,4,0,True,True,0
2009-04-11,SP1,Spain La Liga,Barcelona,Recreativo,1.14,7.5,17.0,0.820304960432349,2,0,True,True,0
2009-04-12,N1,Netherlands Eredivisie,Ajax,Willem II,1.2,5.5,13.0,0.7630736392742797,7,0,True,True,0
2009-04-18,N1,Netherlands Eredivisie,AZ Alkmaar,Vitesse,1.2,5.75,11.0,0.7588482303539292,1,2,True,True,1
2009-04-21,SP1,Spain La Liga,Real Madrid,Getafe,1.25,5.5,12.0,0.7510668563300142,3,2,True,True,0
2009-04-22,E0,England Premier League,Man United,Portsmouth,1.25,5.5,13.0,0.7556142668428005,2,0,True,True,0
2009-04-25,B1,Belgium First Division A,Anderlecht,Dender,1.14,6.0,15.0,0.7898894154818326,4,0,True,True,0
2009-04-26,P1,Portugal Primeira Liga,Porto,Setubal,1.2,5.5,13.0,0.7630736392742797,2,0,True,True,0
2009-05-03,E0,England Premier League,Liverpool,Newcastle,1.25,5.5,13.0,0.7556142668428005,3,0,True,True,0
2009-05-09,B1,Belgium First Division A,Anderlecht,Roeselare,1.14,7.5,19.0,0.8250825082508252,3,1,True,True,0
2009-05-16,F1,France Ligue 1,Bordeaux,Le Mans,1.25,5.75,11.0,0.7512991833704529,3,2,True,True,0
2009-05-17,I1,Italy Serie A,Inter,Siena,1.2,6.0,15.0,0.78125,3,0,True,True,0
2009-05-23,F1,France Ligue 1,Bordeaux,Monaco,1.25,5.5,13.0,0.7556142668428005,1,0,True,True,0
2009-05-24,SC0,Scotland Premiership,Celtic,Hearts,1.22,6.5,11.0,0.7700592353257942,0,0,True,True,0
