date,match_active,home_candidate_count,home_selected_event,home_selected_entity,home_eligibility_state,away_candidate_count,away_selected_event,away_selected_entity,away_eligibility_state,coverage_category,union_covered,source_provenance
2007-09-05,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-06,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-07,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-08,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-09,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-10,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-11,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-12,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-13,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-14,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-15,True,3,2007-09-15|SC0|Celtic|Inverness C,Celtic,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-16,True,1,2007-09-16|I1|Inter|Catania,Inter,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-17,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-18,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-19,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-20,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-21,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-22,True,3,2007-09-22|E0|Arsenal|Derby,Arsenal,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-23,True,1,2007-09-23|P1|Sp Lisbon|Setubal,Sp Lisbon,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-24,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-25,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-26,True,2,2007-09-26|D1|Bayern Munich|Cottbus,Bayern Munich,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-27,True,1,2007-09-27|SP1|Real Madrid|Betis,Real Madrid,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-28,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-29,True,1,2007-09-29|SC0|Celtic|Dundee United,Celtic,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-09-30,True,2,2007-09-30|N1|Ajax|VVV Venlo,Ajax,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-01,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-02,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-03,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-04,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-05,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-06,True,3,2007-10-06|E0|Man United|Wigan,Man United,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-07,True,3,2007-10-07|E0|Arsenal|Sunderland,Arsenal,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-08,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-09,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-10,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-11,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-12,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-13,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-14,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-15,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-16,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-17,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-18,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-19,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-20,True,5,2007-10-20|N1|PSV Eindhoven|VVV Venlo,PSV Eindhoven,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-21,True,1,2007-10-21|I1|Milan|Empoli,Milan,ELIGIBLE,0,,,NO_ELIGIBLE_EVENT,HOME_ONLY,True,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-22,True,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
2007-10-23,False,0,,,NO_ELIGIBLE_EVENT,0,,,NO_ELIGIBLE_EVENT,NEITHER,False,official Football-Data 0708 B365H/B365D/B365A; outcome-blind
